Number,Date,Team,Polar,Tweet
28, 2019-03-22,Arsenal,0.25, RT IFTVofficial AC Milan are interested in Barella amp could sell Kessie to Arsenal who are interested in both players to fund the move
29, 2019-03-22,Arsenal,0.8, RT Arsenal Great to have you with us and smiling DannyWelbeck ArsenalInDubai
30, 2019-03-22,Arsenal,0, RT Arsenal Roses are redViolets are blueYet another derbyThat ended 52WorldPoetryDay
31, 2019-03-22,Arsenal,0.4, RT JOEcouk The Great British Football Pie Bake Off We got Arsenals Piebury Corner LFCs Homebaked Anfield and FulhamFCs Putne
32, 2019-03-22,Arsenal,0, RT LabourSJ Just for tonight no focus on Brexit for me Tonight Im focused on the mum and boy who walked the streets last night because
33, 2019-03-22,Arsenal,0, RT Arsenal Stepping out in the Dubai sunArsenalInDubai
34, 2019-03-22,Arsenal,0.14, RT Arriadna So Iran complies with the agreement and doesnt build a nuclear arsenal but gets slapped with new sanctions while NK who cont
35, 2019-03-22,Arsenal,0.14, Transfer news LIVE Man Utd Coutinho boost Arsenal eye duo Madrid contact Chelsea star
36, 2019-03-22,Arsenal,0.14, Transfer news LIVE Man Utd Coutinho boost Arsenal eye duo Madrid contact Chelsea star
37, 2019-03-22,Arsenal,0, Ten 10 Vintage Football Club Badges Sunderland Watford Man United Etc
38, 2019-03-22,Arsenal,-0.2, RT IanLadymanDM The ManUtd treble season thro the eyes of Ryan Giggs Bollockings from Fergie why he disliked Petit amp Vieira the fir
39, 2019-03-22,Arsenal,0, Arsenal loan star Denis Suarez hits back at Unai Emery training claims
40, 2019-03-22,Arsenal,0.5, RT Mnurferuz 5 people you can never advise 1 A woman in Love 2 A man with money 3 William Rutos supporters4 Man uarsenal fans
41, 2019-03-22,Arsenal,-0.25, SabrinaArsenal MApofuaa Well this is gravely unbelievable
42, 2019-03-22,Arsenal,0, RT itzbasito Twitter is now 12 years oldThat means no Liverpool or Arsenal fan has ever tweeted We won the league
43, 2019-03-22,Arsenal,0, RT Lacazest Alright everyone since Im so close to hitting 30k followers Im going to be doing an Arsenal shirt GIVEAWAYTo get a cha
44, 2019-03-22,Arsenal,0, RT LabourSJ Just for tonight no focus on Brexit for me Tonight Im focused on the mum and boy who walked the streets last night because
45, 2019-03-22,Arsenal,0, walegates SabrinaArsenal Pls what specie of lion is this This lion must be a Nigerian
46, 2019-03-22,Arsenal,0.25, UnitedStandMUFC Hes not replaceable he works hard loves the club and is so versatile and intelligent We need h
47, 2019-03-22,Arsenal,0, RT Rashawn98 Arsenal fansdont ever forget
48, 2019-03-22,Arsenal,0, RT LabourSJ Just for tonight no focus on Brexit for me Tonight Im focused on the mum and boy who walked the streets last night because
49, 2019-03-22,Arsenal,0.14, ALNasrSC take on Arsenal at the all new Al Maktoum stadium live in Dubai on Tuesday 26th March
0, 2019-03-22,Chelsea,0.35, RT sidramatics Most core Ronaldo fans are from Man United Real Madrid Chelsea and teams that Messi has hurt severely in the pastDeep
1, 2019-03-22,Chelsea,0.55, ebukaemmanel ConnCFC BradPuttock Leavin our backline exposed is ok to u Kindly check opposition tactics for bea
2, 2019-03-22,Chelsea,0, Chelsea Ottoman Box Bench 5 Colours National Deal from 4
3, 2019-03-22,Chelsea,0, sugarNspice Undercover at Sibuya Chelsea Hotel on 2019322
4, 2019-03-22,Chelsea,0, PSGalu 2000 Losing to France again but this time in the Euro Final Last minute equaliser and then that fatal
5, 2019-03-22,Chelsea,0.2, CSPerks RobboWWFC I think its harder for him to stand out in that City side with so many superstars whereas Ch
6, 2019-03-22,Chelsea,0.29, stpidstan BKLYNRELL1 Right
7, 2019-03-22,Chelsea,-0.16, RT ChelseaFC Stay humble keep your feet on the ground and keep working hard A back to the start of a breakthrough year for Calt
8, 2019-03-22,Chelsea,0.14, Transfer news LIVE Man Utd Coutinho boost Arsenal eye duo Madrid contact Chelsea star
9, 2019-03-22,Chelsea,-0.03, David Luiz recalls dramatic Benfica debut and Chelsea v Napoli epic in first part of exclusive interview looking at
10, 2019-03-22,Chelsea,0, RT ChelseaFC DoYouRememberWhen Chelsea 60 Arsenal on this day in 2014
11, 2019-03-22,Chelsea,0.18, fouldsmax Quick google there haha dont read into that mate Youve been in one final since 2007 Your also nowhe
12, 2019-03-22,Chelsea,0, ExWHUemployee They play a west ham reject in the middle chelsea reject up front united reject on the left and a
13, 2019-03-22,Chelsea,0, RT ChelseaFC DoYouRememberWhen Chelsea 60 Arsenal on this day in 2014
14, 2019-03-22,Chelsea,-0.25, RT khrafnsson A whistleblower tortured and jailed for leaking information is now again sent to jail by a secret court for refusing to
15, 2019-03-22,Chelsea,-0.4, BHBaggie HeroTaylor9 Baggieboy1878 Confused I amso the likes of Man City and Chelsea etc are literally k
16, 2019-03-22,Chelsea,0, There were two girls i made friends with at my summer job last year After not seeing them this entire time I went
17, 2019-03-22,Chelsea,-0.5, alexbw11 Unfortunately wont happen Sancho will take money we wont spend and Chelsea would never deal with us
18, 2019-03-22,Chelsea,0.15, Marvitodude I real didnt understand why Chelsea sold early De Bruyne instead of Oscar
19, 2019-03-22,Chelsea,0.3, benb90 ChelseaFanCast Read Crouchys book Hes a nice fella Chelsea ball boy as a kid His dad is big Chelsea
20, 2019-03-22,Chelsea,0.5, RT AssangeMrs Converging events impacting Julians safetyWikileaks Grand Jury targettingtorture of Chelsea ManningEnd of Mueller
21, 2019-03-22,Chelsea,0, RT ChelseaFC England debut Chelseas youngest England internationalWhat a night for Calteck10
22, 2019-03-22,Chelsea,0.8, Lol chelsea 6th
23, 2019-03-22,Chelsea,0.14, Transfer news LIVE Man Utd Coutinho boost Arsenal eye duo Madrid contact Chelsea star
24, 2019-03-22,Chelsea,0.14, Transfer news LIVE Man Utd Coutinho boost Arsenal eye duo Madrid contact Chelsea star
25, 2019-03-22,Chelsea,0, RT ChelseaFC England debut Chelseas youngest England internationalWhat a night for Calteck10
26, 2019-03-22,Chelsea,0.5, RT ChelseaFCBryan Courtois struggling yet again since leaving Chelsea you love to see it
27, 2019-03-22,Chelsea,0.29, RT RupeCFC Kanes role in the build up play is very underrated Outstanding passer particularly for a striker Combine that with the nu
28, 2019-03-22,Chelsea,0, RT ChelseaFCBryan Imagine if Chelsea didnt have Hazards GA this season they would only have 37 points amp be in 13th place atm Simply
29, 2019-03-22,Chelsea,0.55, KovaiIn the end the most important thing is to win trophies and the players know it Im sure we will h
30, 2019-03-22,Chelsea,-0.19, RT footballitalia ACMilan have not activated a single option to buy for 10 years but could break that negative streak to sign Tiemoue B
31, 2019-03-22,Chelsea,-0.2, Woke up to my TL looking like Balogun marketRonaldo and Chelsea fans crying
32, 2019-03-22,Chelsea,0, chelseajanes mikefarb1 Thank you Senator Harris
33, 2019-03-22,Chelsea,0.4, chelsea fans comparing him to CHO in the comments for no reason living in their heads rent free
34, 2019-03-22,Chelsea,0.2, RT ajlaxoxoo you know youre really going through it when you start listening to Chelsea Cutler
35, 2019-03-22,Chelsea,0, 1997 Mark Duke murdered his father his brothers fiancee amp 7yearold Chelsea Hunt amp 6yearold Chelisa Hunt
36, 2019-03-22,Chelsea,0, RT Fuctupmind People who were supposed to leave the US when Trump wonJon StewartChelsea HandlerNeve CampbellLena DunhamAl Sharpton
37, 2019-03-22,Chelsea,0.43, RT echoleague The Echo League U11 rep boys were tested last Friday versus a powerful Chelsea Development team A truly impressive perform
38, 2019-03-22,Chelsea,0.1, Staphmann dont wow our g3rs I know chelsea no get wow g3rs
39, 2019-03-22,Chelsea,0, RT medialens John PilgerWhere is Amnesty International Where are the womens groups Where are the LGBT groups Where are the Pride p
40, 2019-03-22,Chelsea,0, shivashankar029 PurelyFootball Chelsea fan
41, 2019-03-22,Chelsea,0.2, RT CBSEveningNews Chelsea Manning is being held in jail after refusing to testify before a grand jury investigating Julian Assange I do
42, 2019-03-22,Chelsea,0.17, RT melightnin Brilafm889 Fanscorner hi oge amp the sporty band up super eagles gunners for 3rd spotamp Chelsea focus on Europa man utd w
43, 2019-03-22,Chelsea,0, ChelseaFC Glory days That Chelsea team has faded away Sarri must leave
44, 2019-03-22,Chelsea,0.14, RT ConnCFC Mourinho Some of them need to rethink how they live Chelsea they live football they live their jobConte If I priorit
45, 2019-03-22,Chelsea,0, RT ChelseaFC DoYouRememberWhen Chelsea 60 Arsenal on this day in 2014
46, 2019-03-22,Chelsea,0, RT chelseadaft CFC LoftusCheek hoping to become Chelseas next Lampard as he outlines role ambition
47, 2019-03-22,Chelsea,0, RT iamsircolin Tomas Kalas whos now Chelseas longest serving playerSigned 8 years ago Made two appearances for them The rest out
48, 2019-03-22,Chelsea,0.25, RT TotalCristiano That is falseThis is trueRonaldo has 28 goals and 13 assists vs the current top 65 and 3 vs Man City3 an
49, 2019-03-22,Chelsea,0.19, TheGray168 Crowntiptoe almostjingo Thats Bills daughter Right Chelsea Or just some old woman who looks like he
0, 2019-03-22,Liverpool,0, niamhraffxx Are you liking Liverpool Niamh
1, 2019-03-22,Liverpool,0.1, RT peterjharvey Liverpool a city reborn thanks to the European Union believing in it when London abandoned it Merci beaucoup Juli
2, 2019-03-22,Liverpool,0, RT RinuBabuM 2019 UCL winner will be Juventus Ajax ManUtd ManCity Liverpool Barcelona Tottenham Porto UCL RinuBa
3, 2019-03-22,Liverpool,0, RT HuddersfieldUni Were back YourECL Liverpool today for the WhatLive exhibition Come to the Huddersfield stand and pick up a copy o
4, 2019-03-22,Liverpool,0.14, RT Jem200019 Ive never marched for anything in my life other than to chippies and McDonalds and to the free buffet Thus this country r
5, 2019-03-22,Liverpool,-0.19, RT wkfarmersmarket These little beauties have been baking overnight in Liverpool and are just about to make West Kirby Farmers Market f
6, 2019-03-22,Liverpool,0.1, RT peterjharvey Liverpool a city reborn thanks to the European Union believing in it when London abandoned it Merci beaucoup Juli
7, 2019-03-22,Liverpool,0.14, RT Jem200019 Ive never marched for anything in my life other than to chippies and McDonalds and to the free buffet Thus this country r
8, 2019-03-22,Liverpool,0.41, RT MagicJarReview New Magic Jar Review episode out now Episode12 We venture out to London Liverpool Street to try out Honest burgers w
9, 2019-03-22,Liverpool,-0.6, YesterdaysStars ParkRed I hate Liverpooldislike Howard Wilkinson and Don Revies Leedsand City are years behind
10, 2019-03-22,Liverpool,0, RT FootballFunnnys Wayne Rooney on the Premier League I hope Man City get over the line before Liverpool I remember when they wo
11, 2019-03-22,Liverpool,0.14, RT poppedmusic Live Review Neon WaltzLiverpool
12, 2019-03-22,Liverpool,0.1, RT peterjharvey Liverpool a city reborn thanks to the European Union believing in it when London abandoned it Merci beaucoup Juli
13, 2019-03-22,Liverpool,0, Off to Anfield to watch Liverpool legends v AC Milan legends justabitexcited steviegbackhome
14, 2019-03-22,Liverpool,0.14, Transfer news LIVE Man Utd Coutinho boost Arsenal eye duo Madrid contact Chelsea star
15, 2019-03-22,Liverpool,0, RT FootyTransferr Wayne Rooney on the Premier League I hope Man City get over the line before Liverpool I remember when they wo
16, 2019-03-22,Liverpool,-0.56, RT tedtully Im not a citizen of europe Im a citizen of Liverpool whos sick amp tired of Tory governments stiffing this city We d
17, 2019-03-22,Liverpool,0, RT StagecoachMCSL LiverpoolService 19 outbound between Croxteth Kirkby There is still a lane closure on the East Lancs at the Home B
18, 2019-03-22,Liverpool,-0.56, RT tedtully Im not a citizen of europe Im a citizen of Liverpool whos sick amp tired of Tory governments stiffing this city We d
19, 2019-03-22,Liverpool,0, majdooos HLTCO And Liverpool fans started a petition when Ramos shoulderbarged Salah
20, 2019-03-22,Liverpool,1, On route to North West exploratory workshop on testing AKA NWEWT in Liverpool today hosted by the awesome
21, 2019-03-22,Liverpool,0.28, Biddy Bannon aged 13 from Great Britain arrived in New York on April 13 1847 having embarked from Liverpool
22, 2019-03-22,Liverpool,0, ExWHUemployee They play a west ham reject in the middle chelsea reject up front united reject on the left and a
23, 2019-03-22,Liverpool,0.1, RT peterjharvey Liverpool a city reborn thanks to the European Union believing in it when London abandoned it Merci beaucoup Juli
24, 2019-03-22,Liverpool,-0.05, RT FG1994x Just a reminder to everyone that Liverpool sold sterling for 50million and spent 32million of it on Christian Benteke
25, 2019-03-22,Liverpool,0.1, RT peterjharvey Liverpool a city reborn thanks to the European Union believing in it when London abandoned it Merci beaucoup Juli
26, 2019-03-22,Liverpool,0, RT JohnnieMaguire WEAVE the story of a Scouse Girl with a possessed hair extension Liverpool Girl Arabella is going out tonight and i
27, 2019-03-22,Liverpool,0.4, Fantastic saves Fantastic keeper Alissonbecker LFC premierleague uhlsport airbodyoriginal
28, 2019-03-22,Liverpool,0, 22ndoclock Im amazed youre tweeting thisgrab a hold of yourself manso if Liverpool won the CL final against
29, 2019-03-22,Liverpool,-0.05, RT AlissonFIair This whole Sterling 3rd best in the World shit is fully laughable Liverpool fans got called delusional and idiots for sa
30, 2019-03-22,Liverpool,0.47, Love watching this This is Liverpool make sure you have sound on
31, 2019-03-22,Liverpool,0.1, RT peterjharvey Liverpool a city reborn thanks to the European Union believing in it when London abandoned it Merci beaucoup Juli
32, 2019-03-22,Liverpool,0.28, RT Cajosolu Clive Tyldesly Hes becoming a classy man in everything he does Raheem SterlingNo Clive hes always been that way but ce
33, 2019-03-22,Liverpool,0.17, Looking forward to Liverpool Legends x Milan Glorie friendly match later its gonna be EPIC amp I really hope both
34, 2019-03-22,Liverpool,0.1, RT peterjharvey Liverpool a city reborn thanks to the European Union believing in it when London abandoned it Merci beaucoup Juli
35, 2019-03-22,Liverpool,0.14, Transfer news LIVE Man Utd Coutinho boost Arsenal eye duo Madrid contact Chelsea star
36, 2019-03-22,Liverpool,0.1, RT peterjharvey Liverpool a city reborn thanks to the European Union believing in it when London abandoned it Merci beaucoup Juli
37, 2019-03-22,Liverpool,-0.6, REVIEW Op Art in Focus tateliverpool Shaped by the civil rights movement the cold war and hippie countercul
38, 2019-03-22,Liverpool,0, RT itzbasito Twitter is now 12 years oldThat means no Liverpool or Arsenal fan has ever tweeted We won the league
39, 2019-03-22,Liverpool,-0.56, RT tedtully Im not a citizen of europe Im a citizen of Liverpool whos sick amp tired of Tory governments stiffing this city We d
40, 2019-03-22,Liverpool,0, RT philoates Saint Colum I at the opening of Liverpool Garden Festival 1984angelcakepics hiddenliverpool inm
41, 2019-03-22,Liverpool,0.8, RT SkySportsPL I hope Man City get over the line before Liverpool I couldnt bear to see them win it it would be a nightmare
42, 2019-03-22,Liverpool,0.14, RT thisisanfield NEW Every Liverpool and AC Milan legend set to feature in Anfield charity match today
43, 2019-03-22,Liverpool,0, RT PLPoIIs Anyone remember when Liverpool fans were saying Jordan Ibe gtgt Sterling
44, 2019-03-22,Liverpool,-0.33, IndigoLFC Make a starting 11 of your worst Liverpool players in the last decade heres mineMigs RandallDann
45, 2019-03-22,Liverpool,-0.05, RT FG1994x Just a reminder to everyone that Liverpool sold sterling for 50million and spent 32million of it on Christian Benteke
46, 2019-03-22,Liverpool,-0.15, RT davidconn Hillsborough Trial The Judge has told the jury that Ch Supt Duckenfields response that Liverpool fans forced a gate open
47, 2019-03-22,Liverpool,0, RT FootballFunnnys Wayne Rooney on the Premier League I hope Man City get over the line before Liverpool I remember when they wo
48, 2019-03-22,Liverpool,0.1, RT peterjharvey Liverpool a city reborn thanks to the European Union believing in it when London abandoned it Merci beaucoup Juli
49, 2019-03-22,Liverpool,0, RT StagecoachMCSL LiverpoolService 19 outbound between Croxteth Kirkby There is still a lane closure on the East Lancs at the Home B
0, 2019-03-22,Man Utd,0, RT ThoseScouseLads This fella once kissed the Man Utd badge at Goodison and he calls himself an Evertonian Unreal
1, 2019-03-22,Man Utd,0, I like this thing Ole is doing There are basically no Man Utd players on International duty now
2, 2019-03-22,Man Utd,0, Harry Maguire shows why Mike Phelan might push Man Utd for reunion with Englandstar
3, 2019-03-22,Man Utd,0.14, Transfer news LIVE Man Utd Coutinho boost Arsenal eye duo Madrid contact Chelsea star
4, 2019-03-22,Man Utd,0, RT Naadarkua Man Utd is a religion
5, 2019-03-22,Man Utd,0.14, Transfer news LIVE Man Utd Coutinho boost Arsenal eye duo Madrid contact Chelsea star
6, 2019-03-22,Man Utd,0.14, Transfer news LIVE Man Utd Coutinho boost Arsenal eye duo Madrid contact Chelsea star
7, 2019-03-22,Man Utd,0, RT Naadarkua Man Utd is a religion
8, 2019-03-22,Man Utd,0, RT TheSunFootball Man Utd meet Jadon Sanchos camp over 70m transfer ncustisTheSun
9, 2019-03-22,Man Utd,-0.55, RT TheSunFootball Luke Chadwick opens up on being the worst Premier League winner Ole Gunnar Solskjaer and the battle against mental h
10, 2019-03-22,Man Utd,0, RT GoalNews Man Utd have been linked with 130m bid for Kalidou Koulibaly a 70m move for Jason Sancho and the 50m signing of Toni Kro
11, 2019-03-22,Man Utd,0.17, RT melightnin Brilafm889 Fanscorner hi oge amp the sporty band up super eagles gunners for 3rd spotamp Chelsea focus on Europa man utd w
12, 2019-03-22,Man Utd,0.63, RT GhanaUnited Good morning Ghana Its a bright Saturday morningShare with us your favorite picture in a Man Utd jerseyWe start o
13, 2019-03-22,Man Utd,0.17, Brilafm889 Fanscorner hi oge amp the sporty band up super eagles gunners for 3rd spotamp Chelsea focus on Europa m
14, 2019-03-22,Man Utd,0.4, Madobs4lyf E shouldnt b fit to face man utd
15, 2019-03-22,Man Utd,-0.1, ObertChipsy KurtLaduma SoccerLaduma Yeah Sir Alex Ferguson is shit cos he only coached Man Utd and mourinhos i
16, 2019-03-22,Man Utd,0.2, RT jamesrobsonES United ready to discuss contract terms with Solskjaer Definitive decision still to me made but intermediaries told to
17, 2019-03-22,Man Utd,0, UEFA have opened a disciplinary case against Neymar for insultingmolesting acts against match officials involved
18, 2019-03-22,Man Utd,0, Man Utd player wages revealed including Alexis Sanchezs staggeringsalary
19, 2019-03-22,Man Utd,0.05, Kitshop joshibirogba I want pink Man utd jersey with name and number how much will it cost
20, 2019-03-22,Man Utd,0.5, Does anyone know how many Man Utd and Liverpool players have pulled out of euros with injuries
21, 2019-03-22,Man Utd,0, RT GoalNews Man Utd have been linked with 130m bid for Kalidou Koulibaly a 70m move for Jason Sancho and the 50m signing of Toni Kro
22, 2019-03-22,Man Utd,0.4, RT ManUtdMEN Ed Woodward has important Manchester United business to conclude before summer transfer window mufc
23, 2019-03-22,Man Utd,0.7, GNev2 Man Utd news good for sales and popularity
24, 2019-03-22,Man Utd,0, RT PFCOlly If you supportPortsmouthLiverpoolMan UnitedChelseaWolvesWest HamLeicester Newcastle Crystal PalaceSheff UtdLeedsV
25, 2019-03-22,Man Utd,0.2, RT jamesrobsonES United ready to discuss contract terms with Solskjaer Definitive decision still to me made but intermediaries told to
26, 2019-03-22,Man Utd,0, RT bbcfoot Champions League Neymar charged for comments after loss to Man Utd
27, 2019-03-22,Man Utd,0, peteregwuatu ManUtd equipedefrance Because Man Utd mismanaged him during his 2nd spell Why Conte and Allegri go
28, 2019-03-22,Man Utd,0, Man Utd player wages revealed including Alexis Sanchezs staggering salary
29, 2019-03-22,Man Utd,0.38, GARETH BALE is good enough to play for any of the Premier Leagues top six if he leaves Real Madrid but how many
30, 2019-03-22,Man Utd,0.75, Manchester United are one of the richest clubs in the world and they pay their players some remarkable wages
31, 2019-03-22,Man Utd,0, RT TSMTransfers Sancho RTd a tweet about him joining Man Utd earlier on and his since unretweeted Let the fiesta begin MUFC htt
32, 2019-03-22,Man Utd,0, RT dhunts0102 If Sheffield Utd get promoted to prem they should charge all away fans 1889 for tickets as we were founded in 1889Other
33, 2019-03-22,Man Utd,0.4, Ed Woodward has important Manchester United business to conclude before summer transfer window mufc
34, 2019-03-22,Man Utd,0, RT PFCOlly If you supportPortsmouthLiverpoolMan UnitedChelseaWolvesWest HamLeicester Newcastle Crystal PalaceSheff UtdLeedsV
35, 2019-03-22,Man Utd,0, RT liamgallagher To all my Man Utd n Liverpool fans you know Im only kidding with ya please still buy my record when it comes out and pl
36, 2019-03-22,Man Utd,0, RT ThoseScouseLads This fella once kissed the Man Utd badge at Goodison and he calls himself an Evertonian Unreal
37, 2019-03-22,Man Utd,0.9, Man Utd is PERFECT for Gareth Bale but he wont win them the Premier League PAUL MERSON
38, 2019-03-22,Man Utd,0, SkyUK thankyou sky for raising prices by 10pm I guess it goes towards clubs an players wages Not just Man ut
39, 2019-03-22,Man Utd,0.33, Man Utd could finally sign experienced defender as he tells teammate he wants move in
40, 2019-03-22,Man Utd,0, RT Naadarkua Man Utd is a religion
41, 2019-03-22,Man Utd,0.4, RT NNUHCharity Huge thankk you to NorwichCityFC for donating this fantastic Raffle tickets on sale tomorrow at TheForumNorwich Also
42, 2019-03-22,Man Utd,-0.3, TeleFootball MattLawDT Not give credit to Sterling check Include Man Utd check Write negatively about a b
43, 2019-03-22,Man Utd,0, RT GoalNews Man Utd have been linked with 130m bid for Kalidou Koulibaly a 70m move for Jason Sancho and the 50m signing of Toni Kro
44, 2019-03-22,Man Utd,0, Messi Injury Forces Him Out Of Argentina Squad For Morocco Clash As Barcelona Star Targets Man Utd In ChampionsLea
45, 2019-03-22,Man Utd,0.14, Trending Transfer news LIVE Man Utd Coutinho boost Arsenal eye duo Madrid contact Chelsea star
46, 2019-03-22,Man Utd,0.14, Transfer news LIVE Man Utd Coutinho boost Arsenal eye duo Madrid contact Chelseastar
47, 2019-03-22,Man Utd,0, RT Naadarkua Man Utd is a religion
48, 2019-03-22,Man Utd,0, Man Utd have met Jadon Sanchos camp over 70m summer transfer but face fight with PSG for Dortmunds England star
49, 2019-03-22,Man Utd,0, RT GoalMY Man Utd have been linked with 130m bid for Kalidou Koulibaly a 70m move for Jason Sancho and the 50m signing of Toni Kroo
0, 2019-03-22,Man City,-0.1, funnymanmike Pogba is one of the few players in the world who can do that The united team is so poor right now in
1, 2019-03-22,Man City,0, RT ABC Former NYPD police officer indicted for attempting to cover up a crime scene after shooting a man in the face sources confirm to
2, 2019-03-22,Man City,0, ONLY 3 PLACES LEFT Dont miss out in joining Cumbrias only recognised Football Development ScholarshipPlay ag
3, 2019-03-22,Man City,0.43, RT ChicagosFines19 Warning viewers discretion is advised Strong languageDISTURBING VIDEO SHOWS MAN KICKING ELDERLY WOMAN IN FACE ON
4, 2019-03-22,Man City,0, RT FootballFunnnys Wayne Rooney on the Premier League I hope Man City get over the line before Liverpool I remember when they wo
5, 2019-03-22,Man City,0, On this day 1991 CoventryCity 3 Man City 1 Regis Gynn amp kevingallacher8 are the Sky Blues scorers While Clive
6, 2019-03-22,Man City,0.43, RT ChicagosFines19 Warning viewers discretion is advised Strong languageDISTURBING VIDEO SHOWS MAN KICKING ELDERLY WOMAN IN FACE ON
7, 2019-03-22,Man City,0, RT FootyTransferr Wayne Rooney on the Premier League I hope Man City get over the line before Liverpool I remember when they wo
8, 2019-03-22,Man City,0, RT WIONews Thursdays explosion in the eastern city of Yancheng injured hundreds and flattened an industrial park
9, 2019-03-22,Man City,0.42, RT VRSJMS Glenn Hoddle thinks Man City is a gay nightclub
10, 2019-03-22,Man City,-0.4, BHBaggie HeroTaylor9 Baggieboy1878 Confused I amso the likes of Man City and Chelsea etc are literally k
11, 2019-03-22,Man City,-0.3, youre the fucking man fella sterling7 proper City
12, 2019-03-22,Man City,0.07, RT BreatheMessi Neymar is 27 lmao hes not close and will never ever surpass Messi At that age Leo was nutmegging the whole fucking Ma
13, 2019-03-22,Man City,0.28, RT Cajosolu Clive Tyldesly Hes becoming a classy man in everything he does Raheem SterlingNo Clive hes always been that way but ce
14, 2019-03-22,Man City,0, RT BigDaddyMashton As someone whos born and raise here in LA seeing the gentrification in this city makes me furious Its has come to t
15, 2019-03-22,Man City,0.8, RT SkySportsPL I hope Man City get over the line before Liverpool I couldnt bear to see them win it it would be a nightmare
16, 2019-03-22,Man City,0, RT FootballFunnnys Wayne Rooney on the Premier League I hope Man City get over the line before Liverpool I remember when they wo
17, 2019-03-22,Man City,0.43, RT ChicagosFines19 Warning viewers discretion is advised Strong languageDISTURBING VIDEO SHOWS MAN KICKING ELDERLY WOMAN IN FACE ON
18, 2019-03-22,Man City,0, Pep Guardiola may need to tweak his Leroy Sane strategy at Manchester City
19, 2019-03-22,Man City,0.17, RT melightnin Brilafm889 Fanscorner hi oge amp the sporty band up super eagles gunners for 3rd spotamp Chelsea focus on Europa man utd w
20, 2019-03-22,Man City,0.07, Get ready for something bigger coming to the city of NYANYA and its environs TOTAL EXPIRENCE WITH THE MAN OF GOD
